ID;PAGE_ID;NAME;DISPLAY_NAME;DATA_TYPE;LENGTH;SCALE;SEARCHABLE;FILTERABLE;TYPE;CONFIGURABLE;CUSTOM;DEFAULT
1134;101;LEASE_TYPE;LEASE_TYPE;VARCHAR;60;0;1;1;0;0;0;1
1135;101;SPECIAL_INSTRUCTION_NAME;SPECIAL_INSTRUCTION;VARCHAR;30;0;1;1;0;0;0;1
1136;101;VESSEL_ARRIVAL_DATE;VESSEL_ARRIVAL_DATE;DATE;0;0;0;1;0;1;0;1
1137;101;RESOURCE_LAST_LOCATION;RESOURCE_LAST_LOCATION;VARCHAR;20;0;0;1;0;1;0;1
1138;101;CARRIER_POD;CARRIER_POD;VARCHAR;10;0;0;0;0;1;0;1
1200;102;RESOURCE_NAME;RESOURCE_NAME;VARCHAR;40;0;0;1;0;0;0;1
1201;102;RESOURCE_TYPE_CODE;RESOURCE_TYPE;VARCHAR;200;0;1;1;0;0;0;1
1202;102;RESOURCE_TYPE_DESC;RESOURCE_TYPE_DESC;VARCHAR;200;0;1;1;0;1;0;1
1204;102;TARE_WEIGHT;RESOURCE_TARE_WEIGHT;DECIMAL;18;4;1;0;0;1;0;1
1205;102;MAX_GROSS_WEIGHT;RESOURCE_MAX_GROSS_WEIGHT;DECIMAL;18;4;1;0;0;1;0;1
1206;102;MAX_CARGO_WEIGHT;RESOURCE_MAXIMUM_CARGO_WEIGHT;DECIMAL;18;4;1;0;0;1;0;1
1207;102;INSIDE_LENGTH;RESOURCE_INSIDE_LENGTH;DECIMAL;18;4;1;0;0;1;0;1
1208;102;INSIDE_WIDTH;RESOURCE_INSIDE_WIDTH;DECIMAL;18;4;1;0;0;1;0;1
1209;102;INSIDE_HEIGHT;RESOURCE_INSIDE_HEIGHT;DECIMAL;18;4;1;0;0;1;0;1
1210;102;DOOR_WIDTH;RESOURCE_DOOR_WIDTH;DECIMAL;18;4;1;0;0;1;0;1
1211;102;DOOR_HEIGHT;RESOURCE_DOOR_HEIGHT;DECIMAL;18;4;1;0;0;1;0;1
